전국	613,783	613,783	0	0	1.21	1.21	0.0	0.0
서울	124,29	13,467	-9,168	-1,357	1.25	1.34	-0.09	-0.1
부산	39,753	43,431	-3,678	-1,091	1.14	1.25	-0.1	-0.03
대구	29,528	29,179	349	-753	1.19	1.18	0.01	-0.03
인천	38,901	37,986	915	2,383	1.35	1.32	0.03	0.08
광주	18,465	18,367	98	-27	1.26	1.25	0.01	-0.02
대전	18,492	20,051	-1,59	102	1.21	1.32	-0.10	0.01
울산	15,767	13,785	1,982	412	1.36	1.19	0.17	0.04
세종	8,039	2,654	5,385	53	5.46	1.80	3.6	0.45
경기	152,382	151,36	1,046	3,461	1.24	1.24	0.01	0.03
강원	18,596	18,103	493	635	1.2	1.18	0.03	0.04
충북	16,568	16,639	-71	292	1.06	1.06	-0.0	0.02
충남	23,961	23,129	832	1,080	1.17	1.13	0.04	0.05
전북	21,394	21,410	-16	674	1.15	1.15	-0.0	0.04
전남	18,248	17,601	647	965	0.97	0.93	0.03	0.05
경북	24,397	25,080	-683	1,151	0.91	0.94	-0.03	0.04
경남	37,792	35,513	2,279	1,132	1.14	1.07	0.07	0.03
제주	7,201	6,052	1,149	658	1.20	1.01	0.19	0.1
