pizza,channel,size,exp,company
3,제플린과 친구들,XL,Y,디지노리
1,제플린과 친구들,XL,Y,하이퍼커넥트
0,제플린과 친구들,L,N,hist
0,페북 담벼락,L,Y,넥슨
2,페북 담벼락,M,N,SK플래닛
1,스사모,L,N,-
3,스사모,XL,N,-
2,페북 담벼락,2XL,Y,SK플래닛
0,제플린과 친구들,XL,Y,Encore
3,스사모,L,Y,Tosslab
3,페북 담벼락,2XL,N,네이버
2,제플린과 친구들,M,Y,아프리카TV
2,제플린과 친구들,L,N,직방
2,페북 담벼락,M,N,KBS
2,제플린과 친구들,L,N,FirstData
2,페북 담벼락,2XL,N,원스토어
1,회사 동료,XL,Y,-
1,제플린과 친구들,L,Y,NTS
3,지인소개,M,Y,SK플래닛
2,스사모,L,N,Univ. of Seoul
2,페북 담벼락,L,N,헬로마켓
1,제플린과 친구들,M,N,서울시립대
1,페북 담벼락,L,N,-
3,제플린과 친구들,XL,N,NTS
2,스사모,2XL,N,-
1,페북 담벼락,M,N,원스토어
1,페북 담벼락,M,N,서울시립대
0,페북 담벼락,L,N,무직
1,스사모,XL,N,ea
2,스사모,L,N,AAI헬스케어 (서비스분야)
0,제플린과 친구들,2XL,Y,우아한형제들
3,스사모,L,Y,-
1,스사모,L,N,이노코어
2,스사모,L,N,신세계 I&C
1,제플린과 친구들,M,Y,서울시립대
2,제플린과 친구들,XL,N,서번텍
2,제플린과 친구들,L,N,-
2,스사모,M,N,GE
2,제플린과 친구들,L,N,ncsoft
1,스터디 모임에서 소개 받음,M,N,무직
0,제플린과 친구들,XL,Y,지그재그
1,페북 담벼락,L,N,INS Lab
0,페북 담벼락,XL,N,개인
2,제플린과 친구들,2XL,Y,무직
2,페북 담벼락,2XL,N,SK플래닛
2,페북 담벼락,L,N,캠프모바일
2,지인 소개,L,Y,리디
0,스사모,M,N,zepetto
1,스사모,L,Y,하나로인증서비스
1,제플린과 친구들,2XL,N,쏘카
2,페북 담벼락,XL,Y,nextfloor
2,페북 담벼락,M,N,플리토
3,페북 담벼락,XL,Y,플랫폼팀
4,스사모,L,Y,카카오
2,제플린과 친구들,L,N,DSMentoring
3,제플린과 친구들,L,N,프리랜서
0,스사모,L,N,지오시스 Qoo10
